Order ID,Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Shipping Cost,Province,Customer Segment,Product Category,Product Sub-Category,Product Container,Ship Date
928,3/1/2011,Low,26,390.2,Express Air,7.4,British Columbia,Consumer,Furniture,Office Furnishings,Small Box,3/3/2011
32323,7/23/2010,High,38,259.7175,Regular Air,5.03,Ontario,Small Business,Technology,Telephones and Communication,Medium Box,7/25/2010
48353,12/15/2012,Not Specified,18,71.22,Regular Air,0.7,British Columbia,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,12/17/2012
10144,1/2/2011,Critical,1,192.49,Delivery Truck,30,British Columbia,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,1/4/2011
26756,5/10/2012,Medium,25,767.26,Regular Air,4,British Columbia,Home Office,Technology,Computer Peripherals,Small Box,5/10/2012
18144,6/7/2011,Critical,48,207.08,Regular Air,5.17,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,6/9/2011
10369,11/9/2011,Low,23,683.68,Regular Air,8.99,British Columbia,Home Office,Technology,Computer Peripherals,Small Pack,11/14/2011
22912,10/16/2010,Low,33,10168.23,Express Air,19.99,Yukon,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,10/20/2010
51008,8/20/2011,High,20,269.66,Regular Air,4.59,Quebec,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,8/22/2011
18279,2/26/2009,Medium,20,10281.79,Regular Air,24.49,Alberta,Consumer,Technology,Copiers and Fax,Large Box,2/27/2009
21635,12/2/2009,Low,2,65.31,Regular Air,12.98,Saskachewan,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,12/2/2009
22656,12/22/2010,Not Specified,10,309.3,Express Air,6.5,Prince Edward Island,Corporate,Technology,Computer Peripherals,Small Box,12/24/2010
54882,2/6/2011,Critical,2,86.92,Regular Air,13.89,Manitoba,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,2/8/2011
25031,8/23/2009,High,24,4636.62,Regular Air,69,British Columbia,Consumer,Furniture,Tables,Large Box,8/25/2009
59684,12/29/2010,Medium,3,14.46,Regular Air,2.26,Manitoba,Corporate,Office Supplies,Paper,Wrap Bag,1/17/2011
775,3/17/2011,Critical,8,31.87,Regular Air,1.2,Nova Scotia,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,3/19/2011
29376,8/11/2012,Critical,20,2850.31,Regular Air,7.07,New Brunswick,Consumer,Office Supplies,Storage & Organization,Small Box,8/13/2012
37505,6/3/2011,Low,42,384.41,Regular Air,5.76,British Columbia,Home Office,Technology,Office Machines,Medium Box,6/8/2011
57382,3/23/2009,Medium,45,452.93,Express Air,5.76,Ontario,Consumer,Office Supplies,Envelopes,Small Box,3/25/2009
7136,3/22/2009,High,9,47.28,Regular Air,0.5,British Columbia,Home Office,Office Supplies,Labels,Small Box,3/24/2009
57542,8/22/2009,High,23,1256.29,Regular Air,6.79,Ontario,Corporate,Office Supplies,Paper,Small Box,8/24/2009
53024,5/12/2012,Not Specified,46,2255.1945,Regular Air,5,Ontario,Corporate,Technology,Telephones and Communication,Small Pack,5/13/2012
59202,9/8/2012,Medium,7,83.81,Regular Air,0.5,Prince Edward Island,Consumer,Office Supplies,Labels,Small Box,9/8/2012
12067,2/4/2010,Critical,7,407.116,Regular Air,19.99,Saskachewan,Small Business,Technology,Telephones and Communication,Small Box,2/5/2010
45670,8/7/2012,Low,2,20.16,Regular Air,7.86,Quebec,Corporate,Office Supplies,Paper,Small Box,8/11/2012
31939,6/25/2011,High,13,1506.8375,Regular Air,4.2,Yukon,Small Business,Technology,Telephones and Communication,Small Box,6/27/2011
42243,3/11/2012,Medium,19,145.26,Regular Air,5.96,Manitoba,Small Business,Office Supplies,Paper,Small Box,3/13/2012
13536,8/18/2009,Medium,23,123.15,Regular Air,2.04,Yukon,Home Office,Office Supplies,Paper,Wrap Bag,8/20/2009
32996,12/17/2010,Critical,2,116.314,Regular Air,3.9,Saskachewan,Consumer,Technology,Telephones and Communication,Small Box,12/19/2010
16133,9/25/2009,Critical,1,27.96,Regular Air,13.56,Nova Scotia,Small Business,Furniture,Office Furnishings,Large Box,9/27/2009
42695,12/22/2010,Not Specified,12,710.328,Regular Air,5.31,Northwest Territories,Small Business,Technology,Telephones and Communication,Small Box,12/24/2010
